"x","y"
53.88153673,411.4363198
-219.2446967,243.5525322
-216.7490257,228.5285928
-244.3012334,253.5851295
-246.8218612,276.1459953
-196.7087876,318.7221424
186.6761902,248.5688308
26.30437226,411.4363198
-186.6761902,180.9111902
244.3012334,241.0568612
226.7566664,233.5448915
103.9946103,376.3721424
-231.7729651,243.5525322
-244.3012334,248.5688308
-78.93807349,356.3319043
211.732727,273.6253676
124.0348483,351.3156056
53.88153673,301.2025321
-81.43374448,411.4363198
-211.732727,263.6177269
-201.7001296,266.1133979
216.7490257,271.1296966
91.46634187,391.3960817
221.7653244,258.6014282
-224.2609954,246.0731599
221.7653244,223.5122941
-174.1479219,153.3589825
-86.45004318,411.4363198
-211.732727,190.9437876
-93.96201286,408.9406488
106.4902812,391.3960817
-169.1316232,178.4155192
174.1479219,195.9600863
-136.5631167,338.7873372
119.0185496,333.7710385
-58.87287871,256.0808005
151.5870561,208.4883547
-239.2849348,283.657965
86.45004318,343.8036359
6.264134191,426.4852159
239.2849348,213.5046534
244.3012334,223.5122941
-73.9217748,80.68504319
-141.5794154,125.8067747
101.4739826,378.8678134
-83.92941548,346.2993069
146.5707574,301.2025321
194.1881599,210.9840257
-76.41744579,276.1459953
-26.30437226,408.9406488
-211.732727,308.7145018
-239.2849348,258.6014282
139.0587877,291.1699347
-108.9859522,226.0329218
194.1881599,273.6253676
-219.2446967,221.0166231
83.92941548,398.9080514
106.4902812,381.3884411
6.264134191,431.5015146
-121.5142206,195.9600863
-91.46634187,321.2427701
116.5228786,378.8678134
-43.84893934,403.9243501
206.7164283,261.0970992
-206.7164283,278.6416663
221.7653244,241.0568612
-119.0185496,216.0003244
-106.4902812,348.7949779
-226.7566664,236.0405625
134.042489,326.2590688
-214.228398,218.4959954
124.0348483,383.8841121
231.7729651,236.0405625
-129.051147,388.9004107
78.93807349,296.1862334
-144.0750864,150.8633115
166.6359522,210.9840257
-216.7490257,246.0731599
-36.33696965,406.4449778
-111.5065799,241.0568612
-28.82499996,378.8678134
-181.6598915,175.9198483
241.8055625,256.0808005
111.5065799,381.3884411
-216.7490257,208.4883547
-83.92941548,361.3232463
194.1881599,271.1296966
219.2446967,251.0894585
58.87287871,296.1862334
-194.1881599,190.9437876
-194.1881599,183.4318179
161.6196535,301.2025321
-101.4739826,383.8841121
-114.0022509,283.657965
-234.2935928,241.0568612
-221.7653244,233.5448915
-86.45004318,301.2025321
103.9946103,256.0808005
-236.7892638,236.0405625
189.1718612,168.3829219
229.2772941,316.2264714
199.2044586,208.4883547
-194.1881599,218.4959954
-169.1316232,328.7547398
224.2609954,228.5285928
151.5870561,313.7308005
209.237056,243.5525322
-151.5870561,223.5122941
-171.6522509,208.4883547
3.768463199,363.843874
-189.1718612,233.5448915
206.7164283,228.5285928
-191.6924889,198.4557573
11.28043289,378.8678134
-209.237056,221.0166231
-199.2044586,248.5688308
-81.43374448,273.6253676
186.6761902,223.5122941
-204.2207573,216.0003244
-136.5631167,153.3589825
214.228398,288.6742637
-91.46634187,366.339545
8.759805183,396.4123804
66.40980511,378.8678134
-209.237056,283.657965
209.237056,223.5122941
159.1239825,263.6177269
-164.1153245,175.9198483
-214.228398,213.5046534
-194.1881599,296.1862334
-156.6033548,208.4883547
114.0022509,223.5122941
194.1881599,296.1862334
73.9217748,393.9167094
124.0348483,118.2698483
-28.82499996,273.6253676
-226.7566664,231.0242638
-144.0750864,341.2830082
-211.732727,256.0808005
126.5305193,323.7384411
-219.2446967,271.1296966
179.1642205,288.6742637
-216.7490257,248.5688308
199.2044586,248.5688308
-234.2935928,238.5611902
-229.2772941,253.5851295
-101.4739826,378.8678134
-236.7892638,251.0894585
221.7653244,241.0568612
184.1805192,200.976385
-131.546818,190.9437876
-86.45004318,343.8036359
209.237056,216.0003244
231.7729651,226.0329218
-111.5065799,361.3232463
146.5707574,140.8307141
236.7892638,258.6014282
-131.546818,343.8036359
-144.0750864,93.21331157
196.7087876,296.1862334
179.1642205,318.7221424
-103.9946103,356.3319043
-116.5228786,216.0003244
-86.45004318,376.3721424
211.732727,226.0329218
86.45004318,311.2101728
-194.1881599,183.4318179
-136.5631167,251.0894585
-194.1881599,293.6656057
-254.3338308,273.6253676
-204.2207573,291.1699347
-254.3338308,236.0405625
-224.2609954,273.6253676
209.237056,200.976385
214.228398,266.1133979
214.228398,253.5851295
199.2044586,263.6177269
-179.1642205,183.4318179
131.546818,351.3156056
-216.7490257,286.153636
156.6033548,228.5285928
164.1153245,175.9198483
-171.6522509,195.9600863
-66.40980511,271.1296966
-131.546818,163.3915799
73.9217748,238.5611902
-189.1718612,218.4959954
191.6924889,210.9840257
23.80870127,233.5448915
66.40980511,381.3884411
229.2772941,233.5448915
121.5142206,346.2993069
73.9217748,386.379783
209.237056,236.0405625
26.30437226,411.4363198
101.4739826,381.3884411
-214.228398,268.6090689
-211.732727,271.1296966
48.86523803,393.9167094
-171.6522509,311.2101728
184.1805192,178.4155192
-76.41744579,376.3721424
-23.80870127,316.2264714
201.7001296,246.0731599
-226.7566664,306.1938741
81.43374448,115.7741773
-28.82499996,406.4449778
-56.37720772,398.9080514
-66.40980511,251.0894585
-239.2849348,261.0970992
149.0913851,160.8709522
-83.92941548,361.3232463
-66.40980511,368.8601727
-73.9217748,398.9080514
166.6359522,356.3319043
-58.87287871,411.4363198
-219.2446967,266.1133979
-101.4739826,416.4526185
-189.1718612,198.4557573
-209.237056,306.1938741
139.0587877,358.8275753
-166.6359522,183.4318179
-206.7164283,198.4557573
251.8132031,233.5448915
-249.3175321,251.0894585
-93.96201286,331.2504108
219.2446967,248.5688308
-73.9217748,80.68504319
234.2935928,243.5525322
93.96201286,386.379783
-231.7729651,236.0405625
151.5870561,336.2667095
129.051147,185.9274889
-204.2207573,261.0970992
76.41744579,331.2504108
31.32067095,313.7308005
28.82499996,421.4689172
-78.93807349,371.3558437
11.28043289,416.4526185
216.7490257,163.3915799
-81.43374448,368.8601727
-33.81634195,398.9080514
88.94571417,378.8678134
224.2609954,223.5122941
116.5228786,353.8112766
-76.41744579,386.379783
-169.1316232,208.4883547
98.97831156,358.8275753
71.40114709,341.2830082
156.6033548,190.9437876
186.6761902,205.967727
234.2935928,278.6416663
186.6761902,263.6177269
86.45004318,396.4123804
68.9054761,398.9080514
181.6598915,303.6982031
-56.37720772,223.5122941
-189.1718612,311.2101728
81.43374448,296.1862334
-219.2446967,223.5122941
-78.93807349,291.1699347
-199.2044586,256.0808005
-83.92941548,303.6982031
171.6522509,190.9437876
-58.87287871,251.0894585
68.9054761,331.2504108
-106.4902812,296.1862334
191.6924889,216.0003244
-161.6196535,281.1373373
-189.1718612,221.0166231
189.1718612,193.4394586
108.9859522,378.8678134
-23.80870127,281.1373373
111.5065799,393.9167094
-83.92941548,376.3721424
-219.2446967,233.5448915
-46.34461033,408.9406488
134.042489,378.8678134
221.7653244,258.6014282
-101.4739826,371.3558437
174.1479219,195.9600863
-201.7001296,208.4883547
-184.1805192,190.9437876
-119.0185496,353.8112766
-191.6924889,210.9840257
191.6924889,210.9840257
-86.45004318,336.2667095
-73.9217748,338.7873372
199.2044586,261.0970992
214.228398,258.6014282
-224.2609954,248.5688308
-83.92941548,271.1296966
-159.1239825,170.9035496
-91.46634187,366.339545
-164.1153245,175.9198483
41.35326834,383.8841121
58.87287871,368.8601727
-166.6359522,173.3992206
-126.5305193,328.7547398
-41.35326834,381.3884411
-98.97831156,366.339545
-78.93807349,376.3721424
23.80870127,276.1459953
216.7490257,268.6090689
234.2935928,263.6177269
166.6359522,208.4883547
-98.97831156,376.3721424
-189.1718612,273.6253676
204.2207573,261.0970992
176.6435928,246.0731599
66.40980511,336.2667095
186.6761902,213.5046534
-88.94571417,401.4286791
-199.2044586,226.0329218
-131.546818,155.8546535
-141.5794154,338.7873372
-199.2044586,218.4959954
189.1718612,266.1133979
-214.228398,243.5525322
-221.7653244,256.0808005
