"gID","number","vh","team","clock","action","text","vscore","hscore","url","timestamp"
"08_23_~1",2,"H","BSU","00:00","GOALIE","STUTEVILLE, Tristin at goalie for Ball State.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",3,"H","BSU","02:20","CORNER","Corner kick by BSU [02:20].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",4,"H","BSU","02:46","SHOT","Shot by BSU MASON, Tatiana BLOCKED.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",5,"H","BSU","04:12","SHOT","Shot by BSU ALSOP, Grace BLOCKED.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",9,"H","BSU","16:42","GOAL","GOAL by BSU ALSOP, Grace (FIRST GOAL), Assist by JOHNSON, Kerrigan, goal number 1 for season.",0,1,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",10,"H","BSU","19:34","SHOT","Shot by BSU COOK, Peighton WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",12,"H","BSU","24:10","CORNER","Corner kick by BSU [24:10].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",15,"H","BSU","27:42","SUB","BSU substitution: COMO, Claudia for ALSOP, Grace.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",16,"H","BSU","28:29","OFFSIDE","Offside against Ball State.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",18,"H","BSU","30:37","FOUL","Foul on Ball State COOK, Peighton [30:37].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",19,"H","BSU","31:36","SHOT","Shot by BSU ELVBO, Julia BLOCKED.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",20,"H","BSU","32:25","GOAL","GOAL by BSU MASON, Tatiana, Assist by KAMBOL, Sam and COMO, Claudia, goal number 1 for season.",0,2,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",21,"H","BSU","32:25","SUB","BSU substitution: SMITH, Lexy for JOHNSON, Kerrigan.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",22,"H","BSU","32:25","SUB","BSU substitution: DICEMAN, Melissa for COOK, Peighton.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",23,"H","BSU","32:25","SUB","BSU substitution: Hawkins-Dabney, Tati for MASON, Tatiana.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",27,"H","BSU","36:03","SHOT","Shot by BSU ELVBO, Julia WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",28,"H","BSU","36:10","SUB","BSU substitution: POTTS, Nicky for ELVBO, Julia.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",30,"H","BSU","38:34","SUB","BSU substitution: RALPH, Chelcy for KAMBOL, Sam.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",34,"H","BSU","00:00","SUB","BSU substitution: MASON, Tatiana for DICEMAN, Melissa.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",35,"H","BSU","00:00","SUB","BSU substitution: KAMBOL, Sam for POTTS, Nicky.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
